stop_id,stop_name,stop_lat,stop_lon,agency
15171,Edmonston Rd+Bryn Mawr Rd,38.983177,-76.910172,WMATA
15189,Greenbelt+Bay E,39.011478,-76.910141,WMATA
15271,Toledo Ter+Belcrest Rd,38.971184,-76.954948,WMATA
16320,Hyattsville Crossing+Bay C,38.965176,-76.956146,WMATA
16321,Hyattsville Crossing+Bay A,38.965096,-76.955696,WMATA
16323,Hyattsville Crossing+Bay D,38.965126,-76.956436,WMATA
16342,Hyattsville Crossing+Bay B,38.965103,-76.95594,WMATA
16427,East-West Hwy+Hyattsville Crossing Entrance,38.966717,-76.957916,WMATA
16437,East-West Hw+Mall Entrance,38.966953,-76.95813,WMATA
16881,Belcrest Rd+Freedom Wy,38.968307,-76.954269,WMATA
17258,River Rd+Haig Dr,38.96814,-76.923035,WMATA
17259,River Rd+Haig Dr,38.968643,-76.924019,WMATA
17281,Belcrest Rd+Queens Chapel Rd,38.964314,-76.953064,WMATA
17382,Campus Dr+52 Av,38.976906,-76.923462,WMATA
17383,Campus Dr+51 Av,38.977409,-76.925011,WMATA
17387,Campus Dr+51 Av,38.9771,-76.924896,WMATA
17388,Campus Dr+52 Av,38.976765,-76.923431,WMATA
18612,Campus Dr+Paint Branch Trail,38.983429,-76.930984,WMATA
18613,Campus Dr+Paint Branch Tr,38.983681,-76.931099,WMATA
18657,Riverdale Rd+61 Pl,38.960472,-76.912903,WMATA
18676,Stadium Dr+Smith Center,38.991745,-76.950249,WMATA
18677,Stadium Dr+Stadium Garage,38.991871,-76.947739,WMATA
18678,Stadium Dr+Varsity Team House,38.990582,-76.945488,WMATA
18679,Regents Dr+Regents Dr Garage,38.989773,-76.940697,WMATA
18883,Edmonston Rd+Gallatin St,38.950668,-76.925346,WMATA
18885,Toledo Terr+Belcrest Rd,38.971291,-76.954987,WMATA
18994,Baltimore Av+East-West Hwy,38.964012,-76.939079,WMATA
19020,Baltimore Av+Oliver St,38.961338,-76.939445,WMATA
20528,Seven Springs Vil+#9300,39.018059,-76.938354,WMATA
20529,Seven Springs Vil+#9308,39.01786,-76.93766,WMATA
21702,Baltimore Av+Van Buren St,38.970078,-76.938171,WMATA
21837,Queensbury Rd+Baltimore Av,38.963017,-76.939621,WMATA
21839,Baltimore Av+Queensbury Rd *,38.963341,-76.939369,WMATA
21840,Queensbury Rd+41 Av,38.96384,-76.947975,WMATA
27673,Riverdale Rd+Tanglewood Dr,38.960121,-76.925041,WMATA
27739,Queens Chapel Rd+Nicholson St,38.960796,-76.955696,WMATA
27797,Baltimore Av+Berwyn Rd,38.996288,-76.931694,WMATA
27818,Baltimore Av+Campus Dr,38.988304,-76.935173,WMATA
28003,Hyattsville Crossing+Bay H,38.965431,-76.955757,WMATA
28006,Baltimore Av+Fordham Ln,38.976639,-76.938049,WMATA
28044,Lafayette Av+Queensbury Rd,38.962257,-76.934959,WMATA
28045,Queensbury Rd+Rhode Island Av,38.962612,-76.935806,WMATA
28046,Queensbury Rd+Rhode Island Av,38.962772,-76.93589,WMATA
28048,Riverdale Rd+48 Av,38.961597,-76.932587,WMATA
28120,College Park+Bay G,38.977898,-76.927773,WMATA
28121,College Park+Bay F,38.978016,-76.927582,WMATA
28122,College Park+Bay B,38.97781,-76.92717,WMATA
28123,College Park+Bay A,38.977692,-76.927361,WMATA
28161,Baltimore Av+Guilford Rd,38.978065,-76.938034,WMATA
28167,Stadium Dr+Regents Dr,38.990631,-76.941856,WMATA
28168,Stadium Dr+#4136 Yahentamitsi Dining Hall,38.990665,-76.945183,WMATA
28169,Stadium Dr+Hagerstown Ln,38.991722,-76.947403,WMATA
28170,Stadium Dr+Denton Hall,38.991856,-76.949951,WMATA
28236,Baltimore Av+Quebec St,38.994225,-76.932564,WMATA
28249,Kennilworth Av+Quintana St,38.961418,-76.920021,WMATA
28252,Kennilworth Av+Powhattan St,38.959885,-76.920105,WMATA
28283,Baltimore Av+Van Buren St,38.96994,-76.938408,WMATA
28284,Baltimore Av+Quebec St,38.994541,-76.932259,WMATA
28309,Greenbelt Rd+Greenbelt Station Pw,38.998016,-76.918068,WMATA
28310,Greenbelt Rd+Greenbelt Station Pw,38.998173,-76.918465,WMATA
28555,Hyattsville Crossing+Bus Bay F,38.965393,-76.956276,WMATA
28597,42 Av+Jefferson St,38.955223,-76.945755,WMATA
28598,42 Av+Jefferson St,38.955189,-76.945587,WMATA
28599,42 Av+Madison St,38.957901,-76.946732,WMATA
28600,42 Av+Nicholson St,38.958454,-76.946526,WMATA
28601,60 Av+Greenbelt Rd,38.997658,-76.911896,WMATA
28602,60 Av+Greenbelt Rd,38.997547,-76.912064,WMATA
28603,60 Av+Seminole St,38.995892,-76.911499,WMATA
28604,60 Av+Seminole St,38.995804,-76.911713,WMATA
28605,60 Av+Quebec Pl,38.993999,-76.911308,WMATA
28627,Cunningham Dr+Quebec St,38.993416,-76.911949,WMATA
28665,Pontiac St+60 Av,38.991844,-76.910896,WMATA
28666,Pontiac St+60 Av,38.991665,-76.910805,WMATA
29006,Baltimore Av+Hamilton St,38.95425,-76.940254,WMATA
29009,Cunningham Dr+Pontiac St,38.992374,-76.913132,WMATA
29010,Pontiac St+Cunningham Dr,38.992268,-76.91291,WMATA
8475,38 Av+Gaines Alley,38.95015,-76.956032,WMATA
8482,Kenilworth Av+Fountain Park Apt,38.95047,-76.927185,WMATA
8488,Rhode Island Av+County Service Bldg,38.950607,-76.94165,WMATA
8495,Rhode Island Av+County Service Bldg,38.950859,-76.941299,WMATA
8498,Edmonston Rd+Gallatin St,38.950924,-76.924843,WMATA
8523,Edmonston Rd+Hamilton St,38.951893,-76.923782,WMATA
8534,38 Av+#5030,38.952126,-76.955246,WMATA
8542,Edmonston Rd+Hamilton St,38.952282,-76.923683,WMATA
8550,Baltimore Av+Gallatin St,38.952419,-76.940681,WMATA
8568,38 Av+Hamilton St,38.95282,-76.954865,WMATA
8584,Hamilton St+38 Av,38.953381,-76.955292,WMATA
8597,Kenilworth Av+Carters Ln,38.953587,-76.923447,WMATA
8599,Hamilton St+37 Av,38.953796,-76.956268,WMATA
8603,Hamilton St+37 Av,38.953838,-76.956696,WMATA
8608,Kenilworth Av+Greenway Dr,38.954094,-76.923599,WMATA
8615,Hamilton St+36 Av,38.9543,-76.958069,WMATA
8618,Hamilton St+36 Av,38.954433,-76.958679,WMATA
8655,Jefferson St+43 Av,38.955101,-76.943367,WMATA
8656,Baltimore Av+Hamilton St,38.954365,-76.940475,WMATA
8659,Jefferson St+43 Av,38.955173,-76.943108,WMATA
8666,Jefferson St+44 Av,38.955326,-76.941376,WMATA
8671,Kenilworth Av+Spring Ln,38.955528,-76.922989,WMATA
8724,Baltimore Av+Longfellow St,38.956612,-76.940041,WMATA
8759,Queens Chapel Rd+Lancer Dr,38.957397,-76.959633,WMATA
8760,Baltimore Av+Longfellow St,38.95742,-76.940018,WMATA
8764,Queens Chapel Rd+Lancer Dr,38.957462,-76.959793,WMATA
8776,Kenilworth Av+Nicholson St,38.957806,-76.921165,WMATA
8825,Riverdale Rd+57 Av,38.959175,-76.918732,WMATA
8831,Riverdale Rd+57 Av,38.959263,-76.918625,WMATA
8835,Baltimore Av+Ogelthorpe St,38.959381,-76.939728,WMATA
8842,Queens Chapel Rd+#5805,38.959534,-76.956856,WMATA
8849,42 Av+Oglethorpe St,38.959576,-76.946465,WMATA
8851,Baltimore Av+Oglethorpe St,38.959644,-76.939781,WMATA
8886,Queens Chapel Rd+Nicholson St,38.960609,-76.955391,WMATA
8896,Riverdale Rd+Current Apt,38.960724,-76.92688,WMATA
8912,Riverdale Rd+Mustang Dr,38.960876,-76.91053,WMATA
8919,Riverdale Rd+Mustang Dr,38.961071,-76.910957,WMATA
8923,42 Av+Oliver St,38.961105,-76.94632,WMATA
