UMPD Case Number,Address
2022-00027561,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2022-00027583,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2022-00027593,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00027653,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2022-00027933,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535 College Ave"
2022-00027940,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00027948,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00027950,3900 block of Denton Service Ln
2022-00027951,3900 block of Denton Service Ln
2022-00027956,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00028215,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00028216,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2022-00028235,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00028236,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00028237,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00028311,University Blvd
2022-00028345,8200 block of Boteler Ln
2022-00028419,Golf Course Parking Lot
2022-00028462,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2022-00028486,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00028533,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2022-00028745,4300 block of Rowalt Dr
2022-00028783,"Clarion Inn, Lidl at 8601 Baltimore Ave"
2022-00028798,4700 block of College Ave
2022-00028818,"Denton, Denton Hall at 3854 Stadium Dr"
2022-00028832,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00028834,8600 block of Boteler Ln
2022-00028845,7300 block of Baltimore Ave
2022-00028846,LeonardtownLeonardtown #201Leonardtown ApartmentLeonardtown Office Building at 4725 Rossborough Ln
2022-00028858,"Cornerstone, Cornerstone Grill at 7325 Baltimore Ave"
2022-00028861,3800 block of Stadium Dr
2022-00028883,7500 block of Calvert Service Ln
2022-00028888,3900 block of Denton Service Ln
2022-00028975,"11, The Hall at 4656 Hotel Dr"
2022-00029031,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00029102,3700 block of Campus Dr
2022-00029133,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00029182,7500 block of Rhode Island Ave
2022-00029224,"35, McKeldin Library at 7649 Library Ln"
2022-00029227,La Plata Hall at 8160 La Plata Dr
2022-00029234,Cumberland Hall at 4250 Farm Dr
2022-00029258,University Courtyard #4 at 8400 Boteler Ln
2022-00029291,4500 block of College Ave
2022-00029344,Greenbelt Rd
2022-00029479,7900 block of Regents Dr
2022-00029515,University Courtyard Clubhouse at 8000 Boteler Ln
2022-00029520,4300 block of Knox Rd
2022-00029558,"28, Howard, Howard Hall at 4296 Lehigh Rd"
2022-00029565,7200 block of Baltimore Ave
2022-00029607,"Seneca Building, UC Center, University Centre at 4716 Pontiac St"
2022-00029630,"Frat 8, Sigma Phi Epsilon Fraternity at 8 Fraternity Row"
2022-00029646,4300 block of Rowalt Dr
2022-00029831,"Frat 8, Sigma Phi Epsilon Fraternity at 8 Fraternity Row"
2022-00029835,"81, Wind Tunnel Building at 8167 Paint Branch Dr"
2022-00029844,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00029855,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2022-00029873,Fieldhouse Dr
2022-00030032,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
2022-00030079,"Architecture, Architecture Building at 3835 Campus Dr"
2022-00030080,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2022-00030088,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00030107,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00030109,Graduate Hills Apartment #287 at 3410 Tulane Dr
2022-00030126,"24, Allegany, Allegany Hall at 4299 Lehigh Rd"
2022-00030176,University Blvd
2022-00030282,"31, Garrett, Garrett Hall at 7570 Calvert Service Ln"
2022-00030356,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00030364,"35, McKeldin Library at 7649 Library Ln"
2022-00030402,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
