UMPD Case Number,Address
2022-00030403,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00030450,8100 block of Baltimore Ave
2022-00030475,Baltimore Ave
2022-00030482,4400 block of Knox Rd
2022-00030742,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00030757,University Courtyard #6 at 8600 Boteler Ln
2022-00030779,"11, The Hall at 4656 Hotel Dr"
2022-00031043,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2022-00031044,Baltimore Ave
2022-00031183,"Ellicott Area Dining Hall, Ellicott Dining Hall at 4028 Stadium Dr"
2022-00031206,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00031264,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2022-00031444,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00031521,McKeldin Mall
2022-00031613,Baltimore Ave
2022-00031658,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00031908,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00031925,4300 block of Knox Rd
2022-00031929,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2022-00031946,6900 block of Preinkert Dr
2022-00032241,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00032250,University Blvd
2022-00032254,4200 block of Farm Dr
2022-00032343,4200 block of Valley Dr
2022-00032391,Geology Building at 8000 Regents Dr
2022-00032410,"Easton, Easton Hall at 3917 Denton Service Ln"
2022-00032509,Baltimore Ave
2022-00032550,University Blvd
2022-00032555,7400 block of Baltimore Ave
2022-00032575,"79, Turner Hall, Visitor Center at 7736 Baltimore Ave"
2022-00032684,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2022-00032690,Adelphi Road Office Annex at 8765 Adelphi Rd
2022-00032892,McKeldin Mall
2022-00032958,7500 block of Hopkins Ave
2022-00033050,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00033057,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801 Alumni Dr"
2022-00033103,Lot R3
2022-00033143,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00033172,7600 block of Mowatt Ln
2022-00033387,"City of CP Garage, College Park Garage, CP Garage Rd"
2022-00033397,"3, Service Building at 7757 Baltimore Ave"
2022-00033512,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr"
2022-00033551,"88, Martin Hall at 4298 Campus Dr"
2022-00033555,"64, Dorchester, Dorchester Hall at 3947 Campus Dr"
2022-00033557,"Hornbake, Hornbake Library at 4130 Campus Dr"
2022-00033610,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2022-00033800,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2022-00033888,"Hornbake Mall, Hornbake Plaza"
2022-00033932,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00033976,Lot W
2022-00034011,Paint Branch Dr
2022-00034041,McKeldin Mall
2022-00034094,"Kehoe Track, Kehoe Track at Ludwig Field, Ludwig Field at 7898 Championship Ln"
2022-00034098,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2022-00034130,8100 block of Paint Branch Dr
2022-00034389,McKeldin Mall
2022-00034428,Baltimore Ave
2022-00034502,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00034774,3100 block of Hamilton St
2022-00034946,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
2022-00035014,Baltimore Ave
2022-00035155,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00035248,Yale Ave
2022-00035273,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
2022-00035322,SECU Stadium Concessions 4 at 8239 Fieldhouse Dr
2022-00035323,"35, McKeldin Library at 7649 Library Ln"
2022-00035400,"35, McKeldin Library at 7649 Library Ln"
2022-00035484,Lot 3
2022-00035506,3400 block of Tulane Dr
2022-00035525,"Easton, Easton Hall at 3917 Denton Service Ln"
2022-00035542,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00035711,I-70 / I-97
2022-00035742,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00035778,3900 block of Denton Service Ln
2022-00035781,Allegany Alley
2022-00035787,7600 block of Regents Dr
2022-00036041,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2022-00036056,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00036154,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00036191,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00036388,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00036421,7200 block of Baltimore Ave
2022-00036429,Greenbelt Rd
2022-00036461,University Courtyard #7 at 8700 Boteler Ln
2022-00036671,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801 Alumni Dr"
2022-00036887,Campus Dr
2022-00036896,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00037004,Metzerott Rd
2022-00037029,7500 block of Dartmouth Ave
2022-00037158,Lot 3
2022-00037168,8300 block of Boteler Ln
2022-00037180,4200 block of Lehigh Rd
2022-00037228,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00037325,University Blvd
2022-00037420,Health Center at 3983 Campus Dr
2022-00037825,3700 block of Campus Dr
2022-00037872,4200 block of Stadium Dr
2022-00037938,Baltimore Ave
2022-00037990,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2022-00038090,8100 block of Baltimore Ave
2022-00038386,Baltimore Ave
2022-00038421,4200 block of Chapel Ln
2022-00038463,Baltimore Ave
2022-00038496,Lot 1b
2022-00038700,Health Center at 3983 Campus Dr
2022-00038975,4600 block of Rossborough Ln
2022-00039414,University Blvd
2022-00039690,Baltimore Ave
2022-00039790,"Litton, Police Services & Training Facility at 7147 51st Ave"
2022-00040040,Baltimore Ave
2022-00040041,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd"
2022-00040057,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00040142,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00040364,9000 block of Baltimore Ave
2022-00040457,Paint Branch Gate at 8966 Paint Branch Dr
2022-00040723,Knox Rd
2022-00040832,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00040834,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00041026,Baltimore Ave
2022-00041065,"76, Symons Hall at 7998 Regents Dr"
2022-00041172,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00041176,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2022-00041258,3500 block of University Blvd
2022-00041324,280 at 4326 Rowalt Dr
2022-00041346,Frat Row
2022-00041569,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00041572,"Architecture, Architecture Building at 3835 Campus Dr"
2022-00041573,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2022-00041641,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr"
2022-00041883,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00042065,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00042298,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00042485,Hotel Dr
2022-00042868,Lot N9
2022-00042875,8200 block of Boteler Ln
2022-00042992,Knox Rd
2022-00043014,4300 block of Hartwick Rd
2022-00043175,"11, The Hall at 4656 Hotel Dr"
2022-00043453,Campus Dr
2022-00043471,Metzerott Rd
2022-00043542,4300 block of Rowalt Dr
2022-00043620,"Leonardtown #245, Leonardtown Apartment 6 at 4689 Rossborough Ln"
2022-00043785,Kim Engineering Building at 8228 Paint Branch Dr
2022-00043822,University Blvd
2022-00044059,Lot 11b
2022-00044269,"35, McKeldin Library at 7649 Library Ln"
2022-00044460,5800 block of University Research Ct
2022-00044732,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00044761,14331 Twig Rd
2022-00045173,Baltimore Ave
2022-00045185,Baltimore Ave
2022-00045424,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00046035,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00046270,8200 block of Boteler Ln
2022-00046316,Kim Engineering Building at 8228 Paint Branch Dr
2022-00046519,8100 block of Boteler Ln
2022-00046621,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00046631,"President's Residence, University House at 8150 Presidential Dr"
2022-00046646,7200 block of Baltimore Ave
2022-00046665,Union Ln
2022-00046672,7700 block of Adelphi Rd
2022-00046799,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00046967,University Blvd
2022-00047192,Greenbelt Rd
2022-00047196,"Frat 5, Phi Kappa Tau Fraternity at 5 Fraternity Row"
2022-00047316,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00047361,8100 block of Baltimore Ave
2022-00047667,University Blvd
2022-00047768,Adelphi Rd
2022-00047808,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00048084,4600 block of Rossborough Ln
2022-00048201,University Blvd
2022-00048217,Baltimore Ave
2022-00048551,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
2022-00048719,Campus Dr
2022-00048931,Campus Dr
2022-00048934,Baltimore Ave
2022-00048952,Testudo Way
2022-00048953,Baltimore Ave
2022-00049392,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
2022-00049472,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00049771,"Capital One Field, Football Stadium, SECU Stadium"
2022-00049891,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00049948,"Football Team House, Gossett, Gossett Football Team House at 4068 Fieldhouse Dr"
2022-00049981,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00050151,Baltimore Ave
2022-00050436,Baltimore Ave
2022-00050437,Baltimore Ave
2022-00050544,8300 block of Baltimore Ave
2022-00050597,Baltimore Ave
2022-00050614,University Blvd
2022-00050623,4300 block of Hartwick Rd
2022-00050689,Varsity Sports Teamhouse at 4117 Stadium Dr
2022-00051142,University Courtyard #3 at 8300 Boteler Ln
2022-00051236,Lot H
2022-00051437,Lot 1b
2022-00051455,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00051573,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2022-00051835,4600 block of Rossborough Ln
2022-00051962,"Seneca Building, UC Center, University Centre at 4716 Pontiac St"
2022-00051999,"88, Martin Hall at 4298 Campus Dr"
2022-00052002,Lot N4
2022-00052011,"Applied Research Lab for Intelligence and Security, ARLIS, CASL, Center for the Advanced Study of Language at 7005 52nd Ave"
2022-00052039,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00052092,Baltimore Ave
2022-00052093,Stadium Dr
2022-00052140,Campus Dr
2022-00052394,Baltimore Ave
2022-00052715,Melbourne Pl
2022-00052754,6700 block of Baltimore Ave
2022-00053025,"73, H.J. Patterson Hall, HJ Patterson Hall at 4065 Campus Dr"
2022-00053037,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00053062,"35, McKeldin Library at 7649 Library Ln"
2022-00053129,West Gate at 3841 Stadium Dr
2022-00053209,Baltimore Ave
2022-00053210,4700 block of Berwyn House Rd
2022-00053333,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00053358,University Blvd
2022-00053384,University Blvd
2022-00053473,"Leonardtown #244, Leonardtown Apartment 12 at 4673 Rossborough Ln"
2022-00053565,"11, The Hall at 4656 Hotel Dr"
2022-00053628,4500 block of College Ave
2022-00053632,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00053651,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00053663,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00053665,"Avrum Gudelsky Veterinary Center, Vet Med at 8075 Greenmead Dr"
2022-00053678,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00053708,"Tawes, Tawes Hall at 7751 Alumni Dr"
2022-00054027,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
2022-00054114,Baltimore Ave
2022-00054252,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
2022-00054266,"Delta Gamma, Delta Gamma Sorority at 4518 Knox Rd"
2022-00054268,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00054309,Baltimore Ave
2022-00054399,Metzerott Rd
2022-00054402,4200 block of Knox Rd
2022-00054457,Baltimore Ave
2022-00054598,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2022-00054618,Baltimore Ave
2022-00054714,"Phi Sigma Sigma Sorority, Phi Sigma Simga at 4531 College Ave"
2022-00054850,Baltimore Ave
2022-00054863,University Blvd
2022-00054944,Baltimore Ave
2022-00055147,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2022-00055163,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00055234,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00055268,Campus Dr
2022-00055300,"60, Anne Arundel, Anne Arundel Hall at 3915 Campus Dr"
2022-00055414,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00055515,Baltimore Ave
2022-00055630,"Laboratory for Telecommunication Sciences, LTS at 8118 Greenmead Dr"
2022-00055788,Campus Dr
2022-00055911,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2022-00055935,8700 block of Boteler Ln
2022-00056036,Greenbelt Rd
2022-00056048,College Ave
2022-00056285,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00056303,8400 block of Baltimore Ave
2022-00056453,Lot Q
2022-00056512,"42, Tydings Hall at 7343 Preinkert Dr"
2022-00056634,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00056641,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00056642,8000 block of Greenmead Dr
2022-00056665,8100 block of Baltimore Ave
2022-00057037,Baltimore Ave
2022-00057072,"3, Service Building at 7757 Baltimore Ave"
2022-00057221,Baltimore Ave
2022-00057401,4300 block of Rowalt Dr
2022-00057439,4300 block of Rowalt Dr
2022-00057455,1 Liberty Dam Rd
2022-00057490,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00057554,7300 block of Baltimore Ave
2022-00057571,Baltimore Ave
2022-00057586,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00057984,"11, The Hall at 4656 Hotel Dr"
2022-00058224,8100 block of La Plata Dr
2022-00058381,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd"
2022-00058487,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00058534,"Microbiology, Microbiology Building at 4062 Campus Dr"
2022-00058631,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00058675,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00058794,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00058906,Lot BB
2022-00058914,Paint Branch Dr
2022-00059103,Bentleys at 7323 Baltimore Ave
2022-00059433,Baltimore Ave
2022-00059717,University Blvd
2022-00059950,West Gate at 3841 Stadium Dr
2022-00059975,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00060010,University Blvd
2022-00060034,South Gate at 7567 Regents Dr
2022-00060082,"Leonardtown #250, Leonardtown Community Center at 7559 Yale Ave"
2022-00060135,4100 block of Campus Dr
2022-00060240,Campus Dr
2022-00060272,Regents Dr
2022-00060369,3400 block of Tulane Dr
2022-00060546,Baltimore Ave
2022-00060697,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00060973,Lot J1
2022-00060976,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2022-00060981,Health Center at 3983 Campus Dr
2022-00061032,Yahentamitsi at 4136 Stadium Dr
2022-00061174,4300 block of Knox Rd
2022-00061244,University Blvd
2022-00061245,Baltimore Ave
2022-00061421,Lot Y
2022-00061446,University Blvd
2022-00061555,4700 block of Howard Ln
2022-00061571,Baltimore Ave
2022-00061759,University Blvd
2022-00061768,University Blvd
2022-00061828,University Blvd
2022-00061917,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2022-00061936,Lot 11b
2022-00061941,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00061968,Graduate Hills Apartment #291 at 3413 Tulane Dr
2022-00062031,College Ave
2022-00062051,Knox Rd
2022-00062065,Calvert Rd
2022-00062137,"43, Taliaferro, Taliaferro Hall at 4280 Chapel Ln"
2022-00062141,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00062160,Neutral Buoyancy Research Facility at 4436 Technology Dr
2022-00062163,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00062261,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00062283,Baltimore Ave
2022-00062346,UMGC Hotel at 348 Ehrensberger Dr
2022-00062373,"35, McKeldin Library at 7649 Library Ln"
2022-00062376,7700 block of Alumni Dr
2022-00062397,8200 block of Paint Branch Dr
2022-00062554,Navahoe St
2022-00062581,University Courtyard #5 at 8500 Boteler Ln
2022-00062648,Health Center at 3983 Campus Dr
2022-00062669,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00062761,Dunkin DonutsLandmark Apartments at 4500 College Ave
2022-00062790,Knox Rd
2022-00062798,Knox Rd
2022-00062809,Knox Rd
2022-00062822,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
2022-00062842,College Ave
2022-00062860,4300 block of Hartwick Rd
2022-00062958,Health Center at 3983 Campus Dr
2022-00063140,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00063165,University Blvd
2022-00063189,"Denton, Denton Hall at 3854 Stadium Dr"
2022-00063290,7500 block of Regents Dr
2022-00063320,8200 block of Baltimore Ave
2022-00063322,Baltimore Ave
2022-00063342,4500 block of Knox Rd
2022-00063344,Greenbelt Rd
2022-00063345,Baltimore Ave
2022-00063455,"35, McKeldin Library at 7649 Library Ln"
2022-00063496,La Plata Hall at 8160 La Plata Dr
2022-00063512,Animal Science Building at 8127 Regents Dr
2022-00063529,UMGC Hotel at 348 Ehrensberger Dr
2022-00063527,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
2022-00063713,Manufacturing Building at 8197 Regents Dr
2022-00063729,Health Center at 3983 Campus Dr
2022-00063766,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00063790,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
